UT,PY,AU
ISI:000086557801251,2000,"Waldemar, G; Winblad, B; Engedal, K; Soininen, HS; Verhey, FRJ; Wimo, A; Wetterholm, AL; Zhang, R; Haglund, AA; Subbiah, P"
ISI:000086630600011,2000,"Ito, C; Morisset, S; Krebs, MO; Olie, JP; Loo, H; Poirier, MF; Lannfelt, L; Schwartz, JC; Arrang, JM"
ISI:000086731000030,2000,"Crawford, F; Freeman, M; Abdullah, L; Schinka, J; Gold, M; Duara, R; Mullan, M"
ISI:000086829400011,2000,"Fratiglioni, L; Wang, HX; Ericsson, K; Maytan, M; Winblad, B"
ISI:000086871100008,2000,"Simic, G; Seso-Simic, D; Lucassen, PJ; Islam, A; Krsnik, Z; Cviko, A; Jelasic, D; Barisic, N; Winblad, B; Kostovic, I; Kruslin, B"
ISI:000086989100004,2000,"Fagerberg, I; Winblad, B; Ekman, SL"
ISI:000087426500007,2000,"Arnaiz, E; Blomberg, M; Fernaeus, SE; Wahlund, LO; Winblad, B; Almkvist, O"
ISI:000087506700010,2000,"Small, BJ; Fratiglioni, L; Viitanen, M; Winblad, B; Backman, L"
ISI:000087526200011,2000,"Small, BJ; Graves, AB; McEvoy, CL; Crawford, FC; Mullan, M; Mortimer, JA"
ISI:000087526200014,2000,"Zhu, L; Fratiglioni, L; Guo, Z; Winblad, B; Viitanen, M"
ISI:000087583100001,2000,"Eriksson, C; Nobel, S; Winblad, B; Schultzberg, M"
ISI:000087588800006,2000,"Skog, M; Grafstrom, M; Negussie, B; Winblad, B"
ISI:000087756800014,2000,"Paris, D; Town, T; Parker, T; Humphrey, J; Mullan, M"
ISI:000087756800022,2000,"Suo, ZM; Su, G; Placzek, A; Kundtz, A; Humphrey, J; Crawford, F; Mullan, M"
ISI:000087756800071,2000,"Aguero-Torres, H; Winblad, B"
ISI:000087830000005,2000,"Paris, D; Town, T; Mori, T; Parker, TA; Humphrey, J; Mullan, M"
ISI:000088044700012,2000,"Frisoni, GB; Fratiglioni, L; Fastbom, J; Guo, ZC; Viiranen, M; Winblad, B"
ISI:000088188000004,2000,"Jensen, M; Hartmann, T; Engvall, B; Wang, R; Uljon, SN; Sennvik, K; Naslund, J; Muehlhauser, F; Nordstedt, C; Beyreuther, K; Lannfelt, L"
ISI:000088230700013,2000,"Sevush, S; Peruyera, G; Crawford, F; Mullan, M"
ISI:000088236600644,2000,"Crawford, F; Freeman, M; Schinka, J; Abdullah, L; Duara, R; Mullan, M"
ISI:000088236601147,2000,"Nikolaev, E; Kaczmarek, L; Winblad, B; Mohammed, AH"
ISI:000088236601222,2000,"Mullan, M; Town, T; Paris, D; Mori, T; Crawford, F; Mattson, M; Flavell, R; Tan, J"
ISI:000088322100018,2000,"Lannfelt, L; Nordstedt, C"
ISI:000088388803598,2000,"Berger, AK; Backman, L; Forsell, Y; Fratiglioni, L; Winblad, B"
ISI:000088388803599,2000,"Fahlander, K; Backman, L; Fastbom, J; Hill, RD; Wahlin, A; Winblad, B"
ISI:000088388803600,2000,"Wahlin, A; Backman, L; Fastbom, J; Nilsson, E; Winblad, B"
ISI:000088523800005,2000,"Kuo, YM; Crawford, F; Mullan, M; Kokjohn, TA; Emmerling, MR; Weller, RO; Roher, AE"
ISI:000088565900040,2000,"Town, T; Abdullah, L; Crawford, F; Schinka, J; Ordorica, P; Francis, E; Hughes, P; Duara, R; Mullan, M"
ISI:000088565900252,2000,"Crawford, F; Freeman, M; Schinka, J; Morris, M; Abdullah, L; Duara, R; Mulla, M"
ISI:000088584300007,2000,"Nordberg, M; Winblad, B; Fratiglioni, L; Basun, H"
ISI:000088592500047,2000,"Paris, D; Town, T; Humphrey, J; Yokota, K; Mullan, M"
